
Integration time [ms]:  40.000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1304102U1
Wave   ;Sample   ;Dark     ;Reference;Reflectance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 199.93;  366.250;  251.800;  471.850;52.01090
 200.27;  377.200;  279.450;  482.600;48.11716
 200.62;  382.100;  272.500;  496.800;48.86314
 200.96;  383.950;  253.550;  500.450;52.81491
 201.31;  363.200;  252.650;  460.700;53.13627
 201.65;  428.150;  292.850;  503.750;64.15362
 201.99;  408.300;  296.250;  519.850;50.11181
 202.34;  400.700;  276.850;  511.450;52.79199
 202.68;  356.950;  263.750;  471.850;44.78617
 203.03;  387.600;  273.450;  493.400;51.89816
 203.37;  384.200;  271.450;  480.350;53.97319
 203.72;  423.000;  282.550;  518.550;59.51272
 204.06;  393.150;  273.100;  497.400;53.52207
 204.40;  413.400;  289.350;  520.950;53.56217
 204.75;  419.150;  296.050;  512.450;56.88539
 205.09;  394.000;  269.850;  506.100;52.55026
 205.44;  398.850;  264.100;  480.650;62.22582
 205.78;  380.100;  271.100;  485.300;50.88703
 206.13;  396.900;  276.400;  503.250;53.11880
 206.47;  404.450;  285.050;  523.550;50.06290
 206.82;  371.850;  248.500;  486.550;51.81685
 207.16;  418.350;  292.550;  523.350;54.50608
 207.50;  387.800;  259.350;  491.450;55.34252
 207.85;  372.850;  279.250;  487.550;44.93520
 208.19;  400.150;  263.200;  502.600;57.20551
 208.54;  392.300;  269.150;  494.600;54.62408
 208.88;  372.000;  254.100;  504.500;47.08466
 209.22;  384.650;  267.250;  514.850;47.41519
 209.57;  389.450;  251.400;  501.000;55.30850
 209.91;  426.100;  297.700;  531.950;54.81323
 210.26;  391.400;  286.900;  498.600;49.36230
 210.60;  378.600;  260.200;  503.850;48.59429
 210.95;  379.700;  259.300;  489.600;52.27964
 211.29;  389.450;  262.900;  505.900;52.07820
 211.63;  370.150;  250.450;  486.400;50.73109
 211.98;  401.900;  259.000;  520.400;54.66717
 212.32;  368.050;  263.500;  493.100;45.53571
 212.67;  394.250;  257.050;  507.700;54.73768
 213.01;  381.650;  260.550;  516.700;47.27698
 213.36;  407.250;  269.250;  524.250;54.11765
 213.70;  397.000;  284.050;  516.550;48.58065
