Wavelength,n,k,n,k,n
200.5,1.55329,0.00618,1.918847893,1.274,1.580342702
201.2,1.55228,0.00614,1.922632075,1.277,1.57997535
202,1.55128,0.00611,1.926508778,1.281,1.579607997
202.8,1.5503,0.00608,1.930511233,1.284,1.579240645
203.6,1.54933,0.00605,1.934732041,1.288,1.578873292
204.4,1.54838,0.00602,1.939076837,1.292,1.57850594
205.2,1.54744,0.00598,1.943544023,1.295,1.578138587
206,1.54651,0.00595,1.948241543,1.299,1.577771235
206.8,1.5456,0.00592,1.953071525,1.303,1.577403882
207.6,1.5447,0.00589,1.958024946,1.307,1.57703653
208.4,1.54381,0.00586,1.963209492,1.311,1.576669177
209.2,1.54294,0.00583,1.968532586,1.316,1.576301825
210,1.54208,0.0058,1.973977887,1.32,1.575934472
210.8,1.54123,0.00577,1.97966023,1.324,1.57556712
211.6,1.5404,0.00575,1.985476888,1.328,1.575199767
212.4,1.53957,0.00572,1.9914128,1.333,1.574832415
213.2,1.53876,0.00569,1.997597736,1.337,1.574465063
214,1.53796,0.00566,2.00390245,1.341,1.57409771
214.8,1.53717,0.00563,2.010338859,1.345,1.573730358
215.6,1.5364,0.00561,2.017009467,1.35,1.573363005
216.4,1.53563,0.00558,2.023792139,1.354,1.572995653
217.1,1.53488,0.00555,2.030729102,1.358,1.5726283
217.9,1.53414,0.00553,2.037869968,1.363,1.572260948
218.7,1.53341,0.0055,2.04511719,1.367,1.571893595
219.5,1.53269,0.00547,2.052548582,1.371,1.571526243
220.3,1.53198,0.00545,2.060144392,1.375,1.57115889
221.1,1.53128,0.00542,2.067840645,1.38,1.570791538
221.9,1.53059,0.0054,2.075757849,1.384,1.570424185
222.7,1.52991,0.00537,2.083792063,1.388,1.570056833
223.5,1.52925,0.00535,2.091948516,1.392,1.56968948
224.3,1.52859,0.00532,2.100314045,1.396,1.569322128
225.1,1.52794,0.0053,2.108770023,1.4,1.568954775
225.9,1.5273,0.00527,2.117397669,1.404,1.568587423
226.7,1.52667,0.00525,2.12617468,1.408,1.56822007
227.5,1.52605,0.00522,2.135036682,1.412,1.567852718
228.3,1.52544,0.0052,2.144127128,1.416,1.567485365
229.1,1.52483,0.00518,2.153301374,1.419,1.567118013
229.9,1.52424,0.00515,2.16262108,1.423,1.566750661
230.7,1.52366,0.00513,2.172103719,1.427,1.566383308
231.5,1.52308,0.00511,2.181663539,1.43,1.566015956
232.3,1.52251,0.00509,2.19144077,1.434,1.565648603
233,1.52195,0.00506,2.20130496,1.437,1.565281251
233.8,1.5214,0.00504,2.211312255,1.441,1.564913898
234.6,1.52085,0.00502,2.221481372,1.444,1.564546546
235.4,1.52031,0.005,2.231722221,1.447,1.564179193
236.2,1.51978,0.00498,2.242198053,1.45,1.563811841
237,1.51926,0.00496,2.252747125,1.453,1.563444488
237.8,1.51875,0.00494,2.263464238,1.457,1.563077136
238.6,1.51824,0.00491,2.274328367,1.459,1.562709783
239.4,1.51774,0.00489,2.285293607,1.462,1.562342431
240.2,1.51724,0.00487,2.296482596,1.465,1.561975078
241,1.51675,0.00485,2.307742156,1.468,1.561607726
241.8,1.51627,0.00483,2.319231338,1.471,1.561240373
242.6,1.51579,0.00481,2.330832349,1.473,1.560873021
243.4,1.51532,0.00479,2.342601193,1.476,1.560505668
244.2,1.51486,0.00477,2.354560868,1.478,1.560138316
245,1.5144,0.00475,2.366623764,1.481,1.559770963
245.8,1.51395,0.00473,2.37896223,1.483,1.559403611
246.6,1.5135,0.00472,2.391373813,1.485,1.559036258
247.4,1.51306,0.0047,2.404075398,1.487,1.558668906
248.2,1.51262,0.00468,2.416893637,1.489,1.558301554
248.9,1.51219,0.00466,2.429943039,1.491,1.557934201
249.7,1.51176,0.00464,2.443192704,1.493,1.557566849
250.5,1.51133,0.00462,2.456610436,1.494,1.557199496
251.3,1.51092,0.0046,2.470316926,1.496,1.556832144
252.1,1.5105,0.00459,2.484123989,1.497,1.556464791
252.9,1.51009,0.00457,2.498312118,1.498,1.556097439
253.7,1.50969,0.00455,2.512574951,1.499,1.555730086
254.5,1.50929,0.00453,2.527221697,1.5,1.555362734
255.3,1.5089,0.00452,2.541990376,1.501,1.554995381
256.1,1.50851,0.0045,2.557083868,1.501,1.554628029
256.9,1.50812,0.00448,2.572374706,1.501,1.554260676
257.7,1.50774,0.00446,2.587928283,1.502,1.553893324
258.5,1.50736,0.00445,2.60375061,1.501,1.553525971
259.3,1.50699,0.00443,2.619772159,1.501,1.553158619
260.1,1.50662,0.00441,2.636125894,1.5,1.552791266
260.9,1.50626,0.0044,2.652616013,1.499,1.552423914
261.7,1.5059,0.00438,2.669489071,1.497,1.552056561
262.5,1.50554,0.00437,2.686439004,1.495,1.551689209
263.3,1.50519,0.00435,2.703804711,1.493,1.551321856
264.1,1.50484,0.00433,2.721213693,1.49,1.550954504
